configuration,concurrency,repetition,request_index,rtt_ms,handshake_ms,server_crypto_ms,process_cpu_seconds,process_rss_bytes,ok,error
control,10,1,0,188.55812500000002,0.0,0.0,0.21256999999999998,35356672,True,
control,10,1,3,191.162708,0.0,0.0,0.214106,35356672,True,
control,10,1,4,192.73633300000003,0.0,0.0,0.215387,35389440,True,
control,10,1,2,197.690292,0.0,0.0,0.216671,35389440,True,
control,10,1,5,206.727875,0.0,0.0,0.21837099999999998,35405824,True,
control,10,1,9,205.56591699999998,0.0,0.0,0.21853899999999998,35405824,True,
control,10,1,8,207.352667,0.0,0.0,0.21989299999999998,35422208,True,
control,10,1,6,210.34200000000004,0.0,0.0,0.22206399999999998,35422208,True,
control,10,1,7,210.424208,0.0,0.0,0.222373,35422208,True,
control,10,1,1,221.88212499999997,0.0,0.0,0.22613799999999998,35422208,True,
control,10,1,11,155.84687499999995,0.0,0.0,0.22763199999999997,35422208,True,
control,10,1,10,170.74699999999999,0.0,0.0,0.228999,35422208,True,
control,10,1,13,157.60466700000003,0.0,0.0,0.230064,35422208,True,
control,10,1,12,162.77629199999998,0.0,0.0,0.23094699999999999,35422208,True,
control,10,1,14,177.73412500000003,0.0,0.0,0.23303999999999997,35438592,True,
control,10,1,15,178.90062500000005,0.0,0.0,0.234559,35454976,True,
control,10,1,17,174.956416,0.0,0.0,0.23475,35454976,True,
control,10,1,18,180.229083,0.0,0.0,0.237119,35471360,True,
control,10,1,19,179.61416700000004,0.0,0.0,0.238813,35471360,True,
control,10,1,16,192.30374999999995,0.0,0.0,0.24043799999999999,35487744,True,
control,10,1,20,158.61100000000005,0.0,0.0,0.242675,35487744,True,
control,10,1,22,171.863667,0.0,0.0,0.24429800000000002,35487744,True,
control,10,1,21,193.80558300000007,0.0,0.0,0.24579199999999998,35487744,True,
control,10,1,26,161.05404099999998,0.0,0.0,0.246774,35487744,True,
control,10,1,23,213.74233399999997,0.0,0.0,0.24881999999999999,35504128,True,
control,10,1,24,195.2901669999999,0.0,0.0,0.25030199999999997,35504128,True,
control,10,1,29,183.27974999999995,0.0,0.0,0.25153,35504128,True,
control,10,1,28,198.73312499999994,0.0,0.0,0.252789,35504128,True,
control,10,1,25,213.209541,0.0,0.0,0.253673,35504128,True,
control,10,1,27,219.32908299999997,0.0,0.0,0.255344,35520512,True,
control,10,1,30,179.72991700000009,0.0,0.0,0.256859,35520512,True,
control,10,1,31,170.05824999999996,0.0,0.0,0.258351,35520512,True,
control,10,1,34,146.48779199999996,0.0,0.0,0.25973399999999996,35520512,True,
control,10,1,33,181.08070899999996,0.0,0.0,0.261352,35536896,True,
control,10,1,32,189.28458400000002,0.0,0.0,0.262876,35553280,True,
control,10,1,36,159.77162499999997,0.0,0.0,0.264545,35553280,True,
control,10,1,35,199.20158300000003,0.0,0.0,0.266426,35553280,True,
control,10,1,38,182.87245900000005,0.0,0.0,0.267762,35553280,True,
control,10,1,37,187.38708299999996,0.0,0.0,0.269077,35553280,True,
control,10,1,39,232.6248329999999,0.0,0.0,0.27059,35553280,True,
control,10,1,40,212.344125,0.0,0.0,0.272478,35553280,True,
control,10,1,41,201.69075000000004,0.0,0.0,0.27355799999999997,35553280,True,
control,10,1,43,197.34000000000006,0.0,0.0,0.275377,35553280,True,
control,10,1,42,223.38029199999988,0.0,0.0,0.277421,35553280,True,
control,10,1,45,193.75158300000007,0.0,0.0,0.277651,35553280,True,
control,10,1,44,227.7073340000001,0.0,0.0,0.279802,35553280,True,
control,10,1,48,179.3500830000001,0.0,0.0,0.280999,35553280,True,
control,10,1,46,216.42879100000002,0.0,0.0,0.282344,35553280,True,
control,10,1,47,217.14570799999987,0.0,0.0,0.283676,35553280,True,
control,10,1,49,162.05358399999992,0.0,0.0,0.28480099999999997,35553280,True,
control,10,1,50,194.506917,0.0,0.0,0.286165,35553280,True,
control,10,1,52,187.7212079999999,0.0,0.0,0.28755699999999995,35553280,True,
control,10,1,55,159.10787500000012,0.0,0.0,0.288852,35553280,True,
control,10,1,54,184.78558300000003,0.0,0.0,0.290088,35569664,True,
