config,strategy,max_tokens,chunk_size_tokens,n_repetitions,ttft_ms_mean,ttft_ms_median,total_ms_mean,n_chunks_mean,total_signature_bytes_mean,total_signing_ms_mean,total_verify_ms_mean,all_stream_fully_verified
classical,buffer_and_sign,50,5,1,5940.9231249883305,5940.9231249883305,5943.960832999437,0.0,72.0,6.564584007719532,2.387332991929725,True
classical,hash_chain,50,5,1,333.0905420007184,333.0905420007184,4441.935666996869,10.0,70.0,0.2124159946106374,0.1963339891517534,True
classical,per_chunk,50,5,1,335.63699999649543,335.63699999649543,3863.267499997164,10.0,709.0,1.0235429799649864,1.4261239994084465,True
classical,buffer_and_sign,200,5,1,16243.33320799633,16243.33320799633,16245.124666995252,0.0,71.0,0.3369579935679212,0.308959002722986,True
classical,hash_chain,200,5,1,135.5998329963768,135.5998329963768,16012.861625000369,40.0,71.0,0.1718749990686774,0.1373749983031302,True
classical,per_chunk,200,5,1,425.8816660003504,425.8816660003504,17975.788958006888,40.0,2848.0,6.448535015806556,8.75850506417919,True
full_pqc,buffer_and_sign,50,5,1,4646.563125003013,4646.563125003013,4647.136083003716,0.0,3309.0,0.2661250036908313,0.2042499982053414,True
full_pqc,hash_chain,50,5,1,508.18200000503566,508.18200000503566,4353.3301670104265,10.0,3309.0,0.4826249933103099,0.1384580100420862,True
full_pqc,per_chunk,50,5,1,399.1766670078505,399.1766670078505,3926.0569580073934,10.0,33090.0,7.564207015093416,3.427458999794908,True
full_pqc,buffer_and_sign,200,5,1,17889.84162500128,17889.84162500128,17890.87187498808,0.0,3309.0,0.3421669971430674,0.2675840078154579,True
full_pqc,hash_chain,200,5,1,345.9944159985753,345.9944159985753,16326.92966600007,40.0,3309.0,0.3204170061508193,0.2134579990524798,True
full_pqc,per_chunk,200,5,1,376.7602080042707,376.7602080042707,16852.97074999835,40.0,132360.0,22.30591405532323,10.989378017256968,True
hybrid,buffer_and_sign,50,5,1,5209.355792001588,5209.355792001588,5211.146875008126,0.0,72.0,7.701416994677857,0.5743749934481457,True
hybrid,hash_chain,50,5,1,385.94983400253113,385.94983400253113,4509.160417001112,10.0,71.0,0.1394580031046643,0.1261249999515712,True
hybrid,per_chunk,50,5,1,470.5255419976311,470.5255419976311,4051.498207991244,10.0,710.0,2.056169003481046,3.066291013965383,True
hybrid,buffer_and_sign,200,5,1,16041.7830410006,16041.7830410006,16042.846708005529,0.0,71.0,0.3334999928483739,0.3035419940715655,True
hybrid,hash_chain,200,5,1,564.6707080013584,564.6707080013584,18142.57704099873,40.0,71.0,0.2658330049598589,0.2530839992687106,True
hybrid,per_chunk,200,5,1,334.20970899169333,334.20970899169333,15552.015041990671,40.0,2841.0,4.191703046672046,5.389122059568763,True
