config,concurrency,weighting,w_sec,w_perf,security_score,median_rtt_ms,control_median_rtt_ms,normalized_latency_overhead,composite_score
classical,10,security_priority,0.8,0.2,0.0,98.76471400002627,100.9467769999901,-0.021615974920764898,0.004323194984152979
classical,10,balanced,0.5,0.5,0.0,98.76471400002627,100.9467769999901,-0.021615974920764898,0.010807987460382449
classical,10,performance_priority,0.2,0.8,0.0,98.76471400002627,100.9467769999901,-0.021615974920764898,0.017292779936611918
hybrid,10,security_priority,0.8,0.2,0.8,101.66560399989066,100.9467769999901,0.007120851415599207,0.6385758297168803
hybrid,10,balanced,0.5,0.5,0.8,101.66560399989066,100.9467769999901,0.007120851415599207,0.3964395742922004
hybrid,10,performance_priority,0.2,0.8,0.8,101.66560399989066,100.9467769999901,0.007120851415599207,0.15430331886752066
classical,100,security_priority,0.8,0.2,0.0,2514.2611680000755,1203.0364149999855,1.0899293958613097,-0.21798587917226195
classical,100,balanced,0.5,0.5,0.0,2514.2611680000755,1203.0364149999855,1.0899293958613097,-0.5449646979306548
classical,100,performance_priority,0.2,0.8,0.0,2514.2611680000755,1203.0364149999855,1.0899293958613097,-0.8719435166890478
hybrid,100,security_priority,0.8,0.2,0.8,982.3913315000254,1203.0364149999855,-0.18340682023325344,0.6766813640466508
hybrid,100,balanced,0.5,0.5,0.8,982.3913315000254,1203.0364149999855,-0.18340682023325344,0.49170341011662677
hybrid,100,performance_priority,0.2,0.8,0.8,982.3913315000254,1203.0364149999855,-0.18340682023325344,0.3067254561866028
hybrid,1000,security_priority,0.8,0.2,0.8,17522.713431000055,17817.316074000017,-0.016534625180156172,0.6433069250360314
hybrid,1000,balanced,0.5,0.5,0.8,17522.713431000055,17817.316074000017,-0.016534625180156172,0.4082673125900781
hybrid,1000,performance_priority,0.2,0.8,0.8,17522.713431000055,17817.316074000017,-0.016534625180156172,0.17322770014412497
